field_samples,mean_confidence_field,mean_confidence_benchmark,confidence_degradation,detected_ood_rate,mean_abs_z,low_confidence_rate_field,low_confidence_rate_benchmark,feature,field_mean,benchmark_mean,flag_rate
60.0,0.4152,0.9712,0.556,1.0,2.4721,0.9667,0.0,__summary__,,,
,,,,,4.211,,,N,205.964,50.552,0.9167
,,,,,0.725,,,P,29.444,53.363,0.0
,,,,,3.995,,,K,250.439,48.149,0.7333
,,,,,0.389,,,temperature,27.57,25.616,0.0
,,,,,0.089,,,humidity,71.916,71.482,0.0
,,,,,0.866,,,ph,7.137,6.469,0.0
,,,,,7.03,,,rainfall,489.718,103.464,1.0
