model,mean_accuracy,std_accuracy,min_accuracy,max_accuracy,ci95_low,ci95_high,n_folds,total_fit_seconds
Random Forest (base),0.995152,0.002558,0.990909,1.0,0.993857,0.996446,15,4.379105
Stacking without AdaBoost,0.993788,0.003486,0.988636,1.0,0.992024,0.995552,15,31.602222
Stacking Ensemble (deployed),0.993788,0.003486,0.988636,1.0,0.992024,0.995552,15,32.024745
Soft Voting (same base learners),0.990455,0.004138,0.981818,0.995455,0.988361,0.992548,15,7.717295
"k-NN, k=5 (base)",0.973788,0.006005,0.959091,0.984091,0.970749,0.976827,15,0.13793
Logistic Regression (meta alone),0.971212,0.005611,0.961364,0.984091,0.968373,0.974052,15,0.901148
AdaBoost (base),0.253485,0.10129,0.125,0.415909,0.202225,0.304745,15,3.667193
