model,ece,brier_score,log_loss,mean_confidence,accuracy,overconfidence
"k-NN, k=5 (base)",0.015455,0.041491,0.195766,0.967545,0.971364,-0.003818
Stacking without AdaBoost,0.042832,0.012511,0.060243,0.951259,0.994091,-0.042832
Stacking Ensemble (deployed),0.042845,0.012511,0.060247,0.951246,0.994091,-0.042845
Random Forest (base),0.044715,0.016448,0.056915,0.951194,0.995909,-0.044715
Logistic Regression (meta alone),0.128456,0.079979,0.210245,0.842453,0.970909,-0.128456
AdaBoost (base),0.208519,0.954341,3.088793,0.045572,0.254091,-0.208519
Soft Voting (same base learners),0.337766,0.136563,0.437571,0.652689,0.990455,-0.337766
